Serie,Data,Projecao,IC_inferior,IC_superior
PSR - Porto Alegre,2026-10-01,23.814014381697476,22.775065030976087,24.85296373241886
PSR - Porto Alegre,2026-11-01,23.935810423024325,22.853531745288002,25.018089100760648
PSR - Porto Alegre,2026-12-01,24.057606464351174,22.931998459599917,25.183214469102435
PSR - Porto Alegre,2027-01-01,24.179402505678027,23.010465173911836,25.34833983744422
PSR - Porto Alegre,2027-02-01,24.30119854700488,23.088931888223755,25.51346520578601
PSR - Porto Alegre,2027-03-01,24.422994588331733,23.16739860253567,25.678590574127796
PSR - Porto Alegre,2027-04-01,24.544790629658586,23.245865316847585,25.843715942469583
PSR - Porto Alegre,2027-05-01,24.66658667098544,23.324332031159503,26.00884131081137
PSR - Porto Alegre,2027-06-01,24.78838271231229,23.402798745471422,26.173966679153157
PSR - Porto Alegre,2027-07-01,24.91017875363914,23.481265459783337,26.339092047494944
PSR - Porto Alegre,2027-08-01,25.03197479496599,23.559732174095252,26.50421741583673
PSR - Porto Alegre,2027-09-01,25.153770836292843,23.63819888840717,26.669342784178518
PSR - Porto Alegre,2027-10-01,25.275566877619696,23.71666560271909,26.834468152520305
PSR - Porto Alegre,2027-11-01,25.39736291894655,23.795132317031005,26.999593520862092
PSR - Porto Alegre,2027-12-01,25.5191589602734,23.873599031342923,27.16471888920388
PSR - Porto Alegre,2028-01-01,25.640955001600254,23.952065745654842,27.329844257545666
PSR - Porto Alegre,2028-02-01,25.762751042927107,24.030532459966757,27.494969625887453
PSR - Porto Alegre,2028-03-01,25.884547084253956,24.108999174278672,27.66009499422924
PSR - Porto Alegre,2028-04-01,26.00634312558081,24.18746588859059,27.825220362571027
PSR - Porto Alegre,2028-05-01,26.128139166907662,24.26593260290251,27.990345730912814
PSR - Porto Alegre,2028-06-01,26.24993520823451,24.344399317214425,28.1554710992546
PSR - Porto Alegre,2028-07-01,26.371731249561364,24.42286603152634,28.32059646759639
PSR - Porto Alegre,2028-08-01,26.493527290888217,24.50133274583826,28.485721835938175
PSR - Porto Alegre,2028-09-01,26.61532333221507,24.579799460150177,28.650847204279962
PSR - Porto Alegre,2028-10-01,26.737119373541923,24.658266174462092,28.81597257262175
PSR - Porto Alegre,2028-11-01,26.858915414868772,24.736732888774007,28.981097940963537
PSR - Porto Alegre,2028-12-01,26.980711456195625,24.815199603085926,29.146223309305324
PSR - Vitoria,2025-01-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2025-02-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2025-03-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2025-04-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2025-05-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2025-06-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2025-07-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2025-08-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2025-09-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2025-10-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2025-11-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2025-12-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2026-01-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2026-02-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2026-03-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2026-04-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2026-05-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2026-06-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2026-07-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2026-08-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2026-09-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2026-10-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2026-11-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2026-12-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2027-01-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2027-02-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2027-03-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2027-04-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2027-05-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2027-06-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2027-07-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2027-08-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2027-09-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2027-10-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2027-11-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2027-12-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2028-01-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2028-02-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2028-03-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2028-04-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2028-05-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2028-06-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2028-07-01,3.637707644387458,3.625406036083047,3.6500092526918686
PSR - Vitoria,2028-08-01,3.637707644387458,3.625406036083047,3.6500092526918686
